TransactionId,UserId,VisitYear,VisitMonth,VisitMode,AttractionId,Rating,ContinentId,RegionId,CountryId,CityId,Continent,Region,Country,CityName,Attraction,AttractionAddress,AttractionTypeId,AttractionType,VisitModeName
8,7567,2022,10,4,640,5,2,8,48,464,America,Northern America,Canada,Ontario,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",63,Nature & Wildlife Areas,Friends
69,9804,2022,7,2,640,4,4,15,109,535,Australia & Oceania,Australia,Australia,Sydney,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",63,Nature & Wildlife Areas,Couples
232,4371,2020,3,2,640,5,4,15,109,1434,Australia & Oceania,Australia,Australia,Melbourne,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",63,Nature & Wildlife Areas,Couples
300,11099,2020,2,2,640,5,5,21,163,780,Europe,Western Europe,United Kingdom,Brighton,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",63,Nature & Wildlife Areas,Couples
376,5021,2020,1,4,640,4,4,15,109,1434,Australia & Oceania,Australia,Australia,Melbourne,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",63,Nature & Wildlife Areas,Friends
398,6355,2020,1,4,640,5,1,3,15,69,Africa,North Africa,Morocco,Fes,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",63,Nature & Wildlife Areas,Friends
480,3850,2020,1,5,640,5,5,21,163,1396,Europe,Western Europe,United Kingdom,Manchester,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",63,Nature & Wildlife Areas,Solo
487,742,2020,1,2,640,5,5,21,163,1346,Europe,Western Europe,United Kingdom,Lincoln,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",63,Nature & Wildlife Areas,Couples
516,10917,2019,12,2,640,5,3,11,69,2311,Asia,East Asia,China,Wuxi,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",63,Nature & Wildlife Areas,Couples
518,9849,2019,12,5,640,5,2,8,48,554,America,Northern America,Canada,Vancouver,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",63,Nature & Wildlife Areas,Solo
